datetime,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm,timestamp,diff,date,label_dt,label_hr,hour,turn,day,year,month,week,year_week,month_week,nroday,nrohour
2022-12-10 19:00:00,2.67,3.0,26.0,0.28,0.29,0.7,10.01,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670698800,1.0,2022-12-10,2022-12-10 19:00,19:00,19,night,Saturday,2022,12,49,2022,12,3,12
2022-12-10 20:00:00,4.94,5.0,31.0,3.08,0.52,0.56,6.82,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670702400,1.0,2022-12-10,2022-12-10 20:00,20:00,20,night,Saturday,2022,12,49,2022,12,3,13
2022-12-10 21:00:00,17.91,18.0,38.0,0.0,0.96,0.0,56.88,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670706000,1.0,2022-12-10,2022-12-10 21:00,21:00,21,night,Saturday,2022,12,49,2022,12,3,14
2022-12-10 22:00:00,14.58,15.0,41.0,0.0,0.97,0.0,59.8,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670709600,1.0,2022-12-10,2022-12-10 22:00,22:00,22,night,Saturday,2022,12,49,2022,12,3,15
2022-12-10 23:00:00,16.99,17.0,41.0,0.29,0.97,0.11,50.68,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670713200,1.0,2022-12-10,2022-12-10 23:00,23:00,23,night,Saturday,2022,12,49,2022,12,3,16
2022-12-11 00:00:00,6.65,7.0,39.0,1.15,0.34,0.66,6.41,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670716800,1.0,2022-12-10,2022-12-11 00:00,00:00,0,night,Saturday,2022,12,49,2022,12,3,17
2022-12-11 01:00:00,19.82,20.0,41.0,0.0,0.97,0.1,49.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670720400,1.0,2022-12-10,2022-12-11 01:00,01:00,1,night,Saturday,2022,12,49,2022,12,3,18
2022-12-11 02:00:00,3.08,3.0,22.0,0.0,0.96,0.98,13.54,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670724000,1.0,2022-12-10,2022-12-11 02:00,02:00,2,night,Saturday,2022,12,49,2022,12,3,19
2022-12-11 03:00:00,3.08,3.0,22.0,0.25,0.96,0.82,13.3,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670727600,1.0,2022-12-10,2022-12-11 03:00,03:00,3,night,Saturday,2022,12,49,2022,12,3,20
2022-12-11 04:00:00,2.71,3.0,26.0,0.2,0.82,0.71,10.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670731200,1.0,2022-12-10,2022-12-11 04:00,04:00,4,night,Saturday,2022,12,49,2022,12,3,21
2022-12-11 05:00:00,1.82,2.0,23.0,0.4,0.59,0.58,5.79,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670734800,1.0,2022-12-10,2022-12-11 05:00,05:00,5,night,Saturday,2022,12,49,2022,12,3,22
2022-12-11 06:00:00,11.11,11.0,41.0,1.04,0.81,0.24,46.27,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670738400,1.0,2022-12-10,2022-12-11 06:00,06:00,6,night,Saturday,2022,12,49,2022,12,3,23
2022-12-11 07:00:00,16.65,17.0,46.0,1.1,0.82,0.15,40.49,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670742000,1.0,2022-12-11,2022-12-11 07:00,07:00,7,day,Sunday,2022,12,49,2022,12,4,0
2022-12-11 08:00:00,21.67,22.0,48.0,0.51,0.95,0.11,36.54,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670745600,1.0,2022-12-11,2022-12-11 08:00,08:00,8,day,Sunday,2022,12,49,2022,12,4,1
2022-12-11 09:00:00,14.39,14.0,46.0,1.06,0.95,0.2,31.96,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670749200,1.0,2022-12-11,2022-12-11 09:00,09:00,9,day,Sunday,2022,12,49,2022,12,4,2
2022-12-11 10:00:00,12.38,12.0,45.0,0.61,0.92,0.11,25.74,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670752800,1.0,2022-12-11,2022-12-11 10:00,10:00,10,day,Sunday,2022,12,49,2022,12,4,3
2022-12-11 11:00:00,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670756400,-1519.0,2022-12-11,2022-12-11 11:00,11:00,11,day,Sunday,2022,12,49,2022,12,4,4
2022-12-11 11:00:00,10.42,10.0,30.0,0.61,0.98,0.18,31.26,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670756400,1.0,2022-12-11,2022-12-11 11:00,11:00,11,day,Sunday,2022,12,49,2022,12,4,4
2022-12-11 12:00:00,0.08,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670760000,1.0,2022-12-11,2022-12-11 12:00,12:00,12,day,Sunday,2022,12,49,2022,12,4,5
2022-12-11 12:00:00,10.99,11.0,35.0,0.81,0.92,0.16,22.7,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670760000,1.0,2022-12-11,2022-12-11 12:00,12:00,12,day,Sunday,2022,12,49,2022,12,4,5
2022-12-11 13:00:00,0.04,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670763600,1.0,2022-12-11,2022-12-11 13:00,13:00,13,day,Sunday,2022,12,49,2022,12,4,6
2022-12-11 13:00:00,0.01,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670763600,1.0,2022-12-11,2022-12-11 13:00,13:00,13,day,Sunday,2022,12,49,2022,12,4,6
2022-12-11 14:00:00,0.02,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670767200,1.0,2022-12-11,2022-12-11 14:00,14:00,14,day,Sunday,2022,12,49,2022,12,4,7
2022-12-11 14:00:00,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670767200,1.0,2022-12-11,2022-12-11 14:00,14:00,14,day,Sunday,2022,12,49,2022,12,4,7
2022-12-11 15:00:00,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670770800,1.0,2022-12-11,2022-12-11 15:00,15:00,15,day,Sunday,2022,12,49,2022,12,4,8
2022-12-11 15:00:00,0.02,0.0,0.0,0.0,0.09,0.98,2.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670770800,1.0,2022-12-11,2022-12-11 15:00,15:00,15,day,Sunday,2022,12,49,2022,12,4,8
2022-12-11 16:00:00,0.06,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670774400,1.0,2022-12-11,2022-12-11 16:00,16:00,16,day,Sunday,2022,12,49,2022,12,4,9
2022-12-11 16:00:00,0.03,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670774400,1.0,2022-12-11,2022-12-11 16:00,16:00,16,day,Sunday,2022,12,49,2022,12,4,9
2022-12-11 17:00:00,12.88,13.0,42.0,1.16,0.86,0.1,33.32,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61,1670778000,1.0,2022-12-11,2022-12-11 17:00,17:00,17,day,Sunday,2022,12,49,2022,12,4,10
2022-12-11 17:00:00,0.04,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT62,1670778000,1.0,2022-12-11,2022-12-11 17:00,17:00,17,day,Sunday,2022,12,49,2022,12,4,10
